timestamp,test-class,test-method,time,description,result
"2022-06-02 19:22:43.653","acme.testing.inventor.chimpum.AdministratorDashboardTest","positivePatronDashboardTest",8159,""[1] recordIndex=0"","OK"
"2022-06-02 19:22:59.848","acme.testing.inventor.chimpum.AdministratorDashboardTest","hackingTest",15708,""hackingTest()"","OK"
"2022-06-02 19:23:10.878","acme.testing.inventor.chimpum.InventorChimpumShowTest","positiveTest",9571,""[1] recordIndex=0, code=ABC-22-05-24, title=This is a test, description=This is a test, budget=EUR 600.00, creationMoment=2022/05/24 21:00, startDate=2022/06/01 15:00, endDate=2022/06/08 15:00, moreInfo=https://moreinfo.com/"","OK"
"2022-06-02 19:23:19.873","acme.testing.inventor.chimpum.InventorChimpumShowTest","positiveTest",8507,""[2] recordIndex=1, code=ERT-22-05-26, title=This is another test, description=This is another test, budget=EUR 300.00, creationMoment=2022/05/26 20:00, startDate=2022/06/01 16:00, endDate=2022/06/08 16:00, moreInfo=null"","OK"
"2022-06-02 19:23:41.252","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","positiveTest",20043,""[1] recordIndex=0, code=AAA, title=This is a positive create test, description=This is a test, budget=GBP 200.00, startDate=2022/08/15 11:00, endDate=2022/08/24 12:00, moreInfo=null"","OK"
"2022-06-02 19:23:57.286","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","hackingCreateTest",15544,""hackingCreateTest()"","OK"
"2022-06-02 19:24:13.293","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","hackingDeleteTest",15514,""hackingDeleteTest()"","OK"
"2022-06-02 19:24:23.917","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",10136,""[1] recordIndex=0, code=BBB, title=null, description=This is a test, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-02 19:24:33.969","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",9573,""[2] recordIndex=1, code=CCC, title=This is a negative test, description=null, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-02 19:24:44.585","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",10133,""[3] recordIndex=2, code=EEE, title=This is a negative test, description=This is a negative test, budget=null, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-02 19:24:54.682","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",9602,""[4] recordIndex=3, code=DDD, title=This is a negative test, description=This is a negative test, budget=EUR 200.00, startDate=null, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-02 19:25:04.791","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",9620,""[5] recordIndex=4, code=RRR, title=This is a negative test, description=This is a negative test, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=null, moreInfo=null"","OK"
"2022-06-02 19:25:14.887","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",9603,""[6] recordIndex=5, code=RRR, title=This is a negative test, description=This is a negative test, budget=YEN 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-02 19:25:24.984","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",9611,""[7] recordIndex=6, code=RRR, title=This is a negative test, description=This is a negative test, budget=EUR 200.00, startDate=2022/04/20 20:00, endDate=2022/08/28 21:00, moreInfo=null"","OK"
"2022-06-02 19:25:35.125","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",9633,""[8] recordIndex=7, code=RRR, title=This is a negative test, description=This is a negative test, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/22 20:00, moreInfo=null"","OK"
