timestamp,test-class,test-method,time,description,result
"2022-06-02 21:04:11.226","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","positiveTest",7877,""[1] recordIndex=0, code=ZZZ, title=PruebaCrear1, description=PruebaCrear2, budget=GBP 500.00, startDate=2022/11/25 11:00, endDate=2022/12/15 11:00, moreInfo=null"","Cannot find 'By.name: code'"
"2022-06-02 21:04:24.312","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","hackingCreateTest",12822,""hackingCreateTest()"","OK"
"2022-06-02 21:04:37.352","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","hackingDeleteTest",12800,""hackingDeleteTest()"","OK"
"2022-06-02 21:04:43.82","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",6230,""[1] recordIndex=0, code=BBB, title=null, description=This is a test, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","Cannot find 'By.name: code'"
"2022-06-02 21:04:50.273","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",6215,""[2] recordIndex=1, code=CCC, title=This is a negative test, description=null, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","Cannot find 'By.name: code'"
"2022-06-02 21:04:56.755","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",6242,""[3] recordIndex=2, code=EEE, title=This is a negative test, description=This is a negative test, budget=null, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","Cannot find 'By.name: code'"
"2022-06-02 21:05:03.305","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",6230,""[4] recordIndex=3, code=DDD, title=This is a negative test, description=This is a negative test, budget=EUR 200.00, startDate=null, endDate=2022/08/28 20:00, moreInfo=null"","Cannot find 'By.name: code'"
"2022-06-02 21:05:09.796","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",6257,""[5] recordIndex=4, code=RRR, title=This is a negative test, description=This is a negative test, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=null, moreInfo=null"","Cannot find 'By.name: code'"
"2022-06-02 21:05:16.306","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",6255,""[6] recordIndex=5, code=RRR, title=This is a negative test, description=This is a negative test, budget=YEN 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","Cannot find 'By.name: code'"
"2022-06-02 21:05:22.769","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",6224,""[7] recordIndex=6, code=RRR, title=This is a negative test, description=This is a negative test, budget=EUR 200.00, startDate=2022/04/20 20:00, endDate=2022/08/28 21:00, moreInfo=null"","Cannot find 'By.name: code'"
"2022-06-02 21:05:29.213","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",6206,""[8] recordIndex=7, code=RRR, title=This is a negative test, description=This is a negative test, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/22 20:00, moreInfo=null"","Cannot find 'By.name: code'"
"2022-06-02 21:05:35.674","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",6220,""[9] recordIndex=8, code=EEE, title=sex, description=This is a test, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","Cannot find 'By.name: code'"
"2022-06-02 21:05:42.143","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",6231,""[10] recordIndex=9, code=EEE, title=This is a test, description=sex, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","Cannot find 'By.name: code'"
"2022-06-02 21:05:48.626","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",6242,""[11] recordIndex=10, code=EEE, title=This is a testttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt, description=aa, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","Cannot find 'By.name: code'"
