timestamp,test-class,test-method,time,description,result
"2022-06-02 21:19:09.211","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","positiveTest",17829,""[1] recordIndex=0, code=ZZZ, title=PruebaCrear1, description=PruebaCrear2, budget=GBP 500.00, startDate=2022/11/25 11:00, endDate=2022/12/15 11:00, moreInfo=null"","OK"
"2022-06-02 21:19:23.07","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","hackingCreateTest",13609,""hackingCreateTest()"","OK"
"2022-06-02 21:19:36.75","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","hackingDeleteTest",13430,""hackingDeleteTest()"","OK"
"2022-06-02 21:19:45.913","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",8909,""[1] recordIndex=0, code=HHH, title=null, description=Esto es una prueba negativa, budget=EUR 100.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-02 21:19:55.047","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",8879,""[2] recordIndex=1, code=HHH, title=Esto es una prueba negativa, description=null, budget=EUR 100.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-02 21:20:04.174","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",8875,""[3] recordIndex=2, code=HHH, title=Esto es una prueba negativa, description=Esto es una prueba negativa, budget=null, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-02 21:20:13.332","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",8904,""[4] recordIndex=3, code=HHH, title=Esto es una prueba negativa, description=Esto es una prueba negativa, budget=EUR 100.00, startDate=null, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-02 21:20:22.534","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",8930,""[5] recordIndex=4, code=HHH, title=Esto es una prueba negativa, description=Esto es una prueba negativa, budget=EUR 100.00, startDate=2022/08/20 20:00, endDate=null, moreInfo=null"","OK"
"2022-06-02 21:20:31.754","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",8968,""[6] recordIndex=5, code=HHH, title=Esto es una prueba negativa, description=Esto es una prueba negativa, budget=SRC 100.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-02 21:20:40.928","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",8926,""[7] recordIndex=6, code=HHH, title=Esto es una prueba negativa, description=Esto es una prueba negativa, budget=EUR 100.00, startDate=2022/04/20 20:00, endDate=2022/08/28 21:00, moreInfo=null"","OK"
"2022-06-02 21:20:50.112","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",8915,""[8] recordIndex=7, code=HHH, title=Esto es una prueba negativa, description=Esto es una prueba negativa, budget=EUR 100.00, startDate=2022/08/20 20:00, endDate=2022/08/22 20:00, moreInfo=null"","OK"
"2022-06-02 21:20:59.264","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",8897,""[9] recordIndex=8, code=HHH, title=sex, description=Esto es una prueba negativa, budget=EUR 100.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-02 21:21:08.451","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",8920,""[10] recordIndex=9, code=HHH, title=Esto es una prueba negativa, description=sex, budget=EUR 100.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-02 21:21:17.773","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",9066,""[11] recordIndex=10, code=HHH, title=Esto es una prueba negativaEsto es una prueba negativaEsto es una prueba negativaEsto es una prueba negativaEsto es una prueba negativaEsto es una prueba negativaEsto es una prueba negativaEsto es una prueba negativaEsto es una prueba negativaEsto es una prueba negativaEsto es una prueba negativaEsto es una prueba negativaEsto es una prueba negativaEsto es una prueba negativaEsto es una prueba negativaEsto es una prueba negativaEsto es una prueba negativaEsto es una prueba negativaEsto es una prueba negati…, description=Esto es una prueba negativa, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-02 21:21:27.117","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",9091,""[12] recordIndex=11, code=HHH, title=aa, description=Esto es una prueba negativaEsto es una prueba negativaEsto es una prueba negativaEsto es una prueba negativaEsto es una prueba negativaEsto es una prueba negativaEsto es una prueba negativaEsto es una prueba negativaEsto es una prueba negativaEsto es una prueba negativaEsto es una prueba negativaEsto es una prueba negativaEsto es una prueba negativaEsto es una prueba negativaEsto es una prueba negativaEsto es una prueba negativaEsto es una prueba negativaEsto es una prueba negativaEsto es una prueba negati…, budget=EUR 200.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-02 21:21:36.267","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",8899,""[13] recordIndex=12, code=HHH, title=Esto es una prueba negativa, description=Esto es una prueba negativa, budget=EUR -100.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-02 21:21:45.449","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",8925,""[14] recordIndex=13, code=HHH, title=Esto es una prueba negativa, description=Esto es una prueba negativa, budget=EUR 100.00, startDate=20/08/22 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
"2022-06-02 21:21:54.903","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",8962,""[15] recordIndex=14, code=HHH, title=Esto es una prueba negativa, description=Esto es una prueba negativa, budget=EUR 100.00, startDate=2022/08/20 20:00, endDate=28/08/22 20:00, moreInfo=null"","OK"
"2022-06-02 21:22:04.057","acme.testing.inventor.chimpum.InventorChimpumCreateDeleteTest","negativeTest",8901,""[16] recordIndex=15, code=null, title=Esto es una prueba negativa, description=Esto es una prueba negativa, budget=EUR 100.00, startDate=2022/08/20 20:00, endDate=2022/08/28 20:00, moreInfo=null"","OK"
